ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12205,0.0,0.0,-4.8300233,-9.334006,-16.914705,-19.91379,-21.955551,-19.776499,-23.021221,-26.178238,-14.019665,-9.658957,-16.191147,-7.61776,-13.809262,-17.198086,-17.082432,-17.082432
12206,0.0,-13.555707,-16.64708,-20.248222,-27.771513,-28.930824,-34.639652,-24.01072,-27.196001,-33.024532,-25.57844,-15.269121,-24.774965,-13.524696,-19.529322,-30.760061,-36.288322,-32.63799
12207,0.0,-13.710862,-17.564047,-19.570972,-25.453632,-30.154585,-32.38299,-25.726805,-27.697817,-32.48313,-24.146967,-15.753905,-25.323797,-13.323474,-22.291191,-34.57263,-37.471546,-33.562706
12208,0.0,-13.535651,-17.407358,-19.544703,-25.573534,-30.206839,-32.407307,-25.271475,-27.178068,-32.18934,-23.705048,-15.22036,-24.900433,-12.927477,-21.996088,-33.895668,-37.11098,-33.149338
12209,0.0,-11.705698,-16.496197,-19.927769,-25.846516,-29.639011,-31.525072,-23.840221,-25.604578,-33.093334,-24.505707,-15.170207,-22.810434,-12.280846,-21.488241,-32.10114,-36.44289,-31.919903
12210,0.0,-11.796521,-16.620691,-20.049316,-25.885939,-29.6821,-31.252298,-23.831871,-25.840887,-33.142567,-24.571072,-14.461811,-21.976843,-11.398758,-20.401573,-31.179413,-35.71159,-31.477636
12211,0.0,13.674912,9.4829855,7.334466,0.029780256,-3.332391,-6.6382403,0.38535488,-2.5419436,-2.5419436,-2.5419436,-2.5419436,-10.225235,2.4761312,-8.693492,-18.63195,-21.421816,-20.277555
12212,0.0,10.879045,12.363421,8.785252,0.47121933,-3.2055383,-6.7595444,-0.24774857,-3.4611104,-8.244594,2.6820457,6.1094213,1.2007833,12.964265,3.301805,-7.1846647,-7.570555,-7.012192
12213,0.0,-12.943232,-16.748505,-18.574461,-25.800001,-29.793755,-33.558884,-26.169937,-28.733839,-35.634247,-25.348257,-17.235722,-24.129232,-12.126365,-21.266266,-33.13257,-36.532413,-34.739063
12214,0.0,-13.04733,-17.861898,-20.77938,-27.226145,-31.895178,-34.23706,-27.20352,-30.549055,-30.549055,-30.549055,-30.549055,-39.297543,-28.271902,-36.070854,-47.673466,-51.638622,-50.19285
12215,0.0,-12.682484,-17.437735,-20.588772,-26.622458,-31.046272,-32.955856,-26.107033,-29.15094,-34.950474,-24.745872,-15.329833,-23.122383,-12.175818,-20.542013,-33.35964,-37.029987,-35.916157
12216,0.0,-12.723508,-17.282175,-20.449894,-26.389353,-30.73775,-32.58639,-25.870325,-28.82611,-34.523098,-24.465284,-15.12842,-22.78719,-11.975785,-20.219675,-33.1565,-36.770912,-35.538425
12217,0.0,12.746764,8.713726,7.778737,-0.7036179,-3.6803377,-8.773156,3.7094386,0.1092159,-9.080614,0.28961328,11.502921,1.6202785,12.124252,2.193553,-4.638468,-9.54577,-8.814057
12218,0.0,0.0,-5.9178233,-8.821255,-15.18499,-17.481869,-23.825054,-15.788715,-15.541907,-15.541907,-15.541907,-15.541907,-15.541907,-15.541907,-1.4892898,-3.8494322,-7.038818,-13.479056
12219,0.0,-10.655776,-18.062159,-19.892485,-26.823595,-28.9386,-29.81412,-23.794899,-25.367231,-32.058056,-22.632782,-11.516636,-19.389463,-9.653116,-16.500671,-27.837837,-31.931965,-30.240747
12220,0.0,-10.397595,-17.986555,-20.491055,-26.294567,-28.674337,-29.463648,-23.107271,-25.245096,-31.273394,-22.339216,-11.552023,-19.35147,-9.869323,-16.74,-27.819895,-31.872383,-31.872383
12221,0.0,-13.398955,-19.481173,-20.762869,-27.667189,-28.968128,-32.746292,-25.82126,-27.70985,-36.505936,-27.580046,-16.139805,-22.904924,-12.439544,-20.486412,-34.04129,-35.966904,-33.45746
12222,0.0,-13.351268,-16.359386,-19.39549,-25.532745,-27.821156,-33.414677,-25.18664,-28.067049,-34.97977,-26.829819,-15.717062,-21.790392,-11.9079275,-19.822945,-33.401295,-34.639698,-31.465612
12223,0.0,-13.493748,-19.219364,-18.341053,-25.6575,-30.060244,-33.307983,-25.071526,-28.892803,-36.243694,-25.703104,-16.923267,-23.980267,-13.835839,-19.097752,-32.195534,-35.989285,-34.83737
12224,0.0,10.299177,7.018559,6.838426,2.5278044,-4.6374373,-4.6374373,7.1842628,2.5441437,-9.816822,-16.094988,-10.859529,-17.786398,-4.708854,-18.764957,-28.140472,-28.494081,-30.57314
12225,0.0,-1.3137753,-4.020683,-7.472717,-14.0052395,-17.078592,-21.608757,-15.34233,-17.580164,-26.457563,-18.656319,-6.567745,-6.567745,-6.567745,-14.626632,-1.1576172,-4.3869524,-4.3869524
12226,0.0,0.0,0.0,0.0,-6.061327,-8.828444,-8.054895,-4.9935055,-8.149218,-8.149218,-8.149218,-8.149218,-20.119884,-6.7769537,-13.637008,-4.640585,-1.1664559,-1.1664559
12227,0.0,-5.6841297,5.7253103,0.6817329,-4.3051643,-6.954119,-6.2714343,3.2314305,-0.078867696,-8.750835,-9.049302,-16.143354,-28.89285,-19.703901,-27.642221,-38.690563,-36.66861,-35.668415
12228,0.0,-5.742774,5.4245496,0.69291186,-4.6553435,-7.121316,-7.05904,2.7196457,-0.6519184,-8.991686,-9.741308,-16.769445,-29.189932,-20.294413,-28.341097,-39.80444,-33.56191,-36.934025
